name,header_url,city,county,postal_cod,latitude,longitude,FORMAL_EN,POP_EST,POP_YEAR,GDP_YEAR,ECONOMY,INCOME_GRP,CONTINENT,REGION_UN,SUBREGION,icon_url
Fab Lab Afghanistan,,Jalalabad,Nangarhar,,34.434468899999999,70.448505200000000,Islamic State of Afghanistan,"34124811","2017","2016",7. Least developed region,5. Low income,Asia,Asia,Southern Asia,
�chofab,http://fablabs.io.s3.amazonaws.com/2019/05/01/01/40/17/bab71a16-a53d-4b98-a2f7-35ac2fd5bf98/echofab_2019_04_10.jpg,Montr�al,Qu�bec,H2N1A4,45.544562800000001,-73.656084699999994,Canada,"35623680","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
Century Community and Technical College,,White Bear Lake,Minnesota,"55110",45.084688499999999,-93.009939799999998,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
Fab Lab Makers Modena,http://fablabs.io.s3.amazonaws.com/2017/05/25/15/31/11/a7d81da5-836f-4d5b-b154-01c93536b3d8/IMG_7093.jpg,Modena,,"41122",44.654829800000002,10.933868300000000,Italian Republic,"62137802","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
Valley Middle School of STEM FAB LAB,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/47/12/b622102e-2782-4da9-9699-d9904018060b/Valley Middle School of STEM FAB LAB.jpg,Apple Valley,Minnesota,"55124",44.726920000000000,-93.239738399999993,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
Techlab Chieri,,Chieri,,"10023",45.014998200000001,7.819246300000030,Italian Republic,"62137802","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
FabLab Castelo Branco,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/47/13/de0ba373-c824-4e72-a170-f8eb9c00ab35/FabLab Castelo Branco.jpg,Castelo Branco,Castelo Branco,6000-767,39.814594205679398,-7.507162849551380,Portuguese Republic,"10839514","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
Fablab Ural v2.0,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/47/16/e8b47f51-9590-45dd-b3a7-a4af9aaa7c41/Fablab Ural v2.0.jpg,????????????,,"620034",56.849542000000000,60.577461999999997,Russian Federation,"142257519","2017","2016",3. Emerging region: BRIC,3. Upper middle income,Europe,Europe,Eastern Europe,./0.png
Fab Lab ULL,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/47/18/87c961c2-cf7b-4da0-8ffe-bf45cd7e7d25/FabLab ULL.jpg,San Crist�bal de La Laguna,Santa cruz de Tenerife,"38320",28.464649999999999,-16.298890000000000,Kingdom of Spain,"48958159","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
Fab Lab Suwon,,"Yeongtong-gu, Suwon-si",Gyeonggi-do,"16705",37.251397200000000,127.078024900000003,Republic of Korea,"51181299","2017","2016",4. Emerging region: MIKT,1. High income: OECD,Asia,Asia,Eastern Asia,
